dni,nombre_seccion,sede_id,apoderado_dni
31448013,Gold,11,52764552
38819038,PaleVioletRed,12,25264560
37262632,Blue,11,36068812
63970928,Violet,12,89484852
33647163,DarkOrchid,19,91132503
23405872,Red,12,83854359
85424415,Tan,15,98397460
25726189,MediumVioletRed,7,44020211
11220551,ForestGreen,13,89107412
56727745,LightCoral,3,14801986
55243675,Coral,10,34550416
17862804,Wheat,9,58411670
40130376,Gray,2,11029090
48787736,Orange,5,41393690
50014587,Crimson,4,67644424
63250690,Gray,2,82975275
33505098,Fuchsia,11,66918977
92716059,DarkKhaki,16,81520379
72046845,LightSteelBlue,10,25068031
66453132,GoldenRod,2,21462312
53459314,Wheat,18,62390335
19207447,OrangeRed,1,27689797
95061108,LightSalmon,3,88349545
40354918,Fuchsia,12,11807660
36464843,Wheat,15,99237010
16696740,MistyRose,3,88895569
19722739,RosyBrown,12,58306329
37727926,Fuchsia,12,44334835
37469862,SlateBlue,19,76017699
15282883,LavenderBlush,16,92715887
74564113,DarkViolet,3,93745343
23225798,SteelBlue,18,17569993
48473826,MediumVioletRed,18,99542882
70270588,MediumBlue,8,90145670
27705094,Indigo,16,86446487
14750515,LightPink,2,12483004
84132559,PapayaWhip,10,22768081
99711069,RoyalBlue,19,68222310
88336624,SandyBrown,5,98237000
58194162,RoyalBlue,7,11592265
17157748,PaleTurquoise,16,38953413
18791795,Chartreuse,12,13862292
95247625,LightGreen,1,94953534
51256951,RoyalBlue,14,61995318
47672020,SteelBlue,18,87541977
29782889,OrangeRed,5,96718836
13020417,SeaGreen,11,15585442
77228072,Peru,8,13315863
91306569,Orchid,7,73696084
88314119,MistyRose,3,27085000
53846254,Bisque,18,95674729
66921182,PaleTurquoise,4,53943791
67650017,Peru,13,49242881
58607807,Purple,7,50951193
54664294,Lime,1,68300283
45714723,Orchid,6,12782917
55322355,LightSalmon,19,61732222
77654080,SaddleBrown,10,36960998
53530132,Aqua,1,84014257
15176695,MediumSlateBlue,0,45135996
40757920,Chocolate,4,99171022
19698135,LemonChiffon,17,99713424
72948167,Crimson,4,53015014
64455287,Purple,7,60849785
95647003,SandyBrown,12,12882003
26832567,LightSlateGray,7,60215278
63011133,LightSalmon,19,67169188
94479697,Magenta,4,61458263
68516513,Azure,12,39515308
39936447,Fuchsia,12,47640698
94192306,GoldenRod,2,90123179
95559098,MediumTurquoise,3,63361777
46430656,BlanchedAlmond,1,97218929
