dni,numero_celular
64886441,754913796
93534654,878167307
73056337,774869892
46167570,851175315
19671056,353224025
40523611,757061785
92624436,336726907
98702700,757526280
48832278,776672914
73061216,928547393
65243485,586877540
64813597,556133937
39821125,926456673
11464599,377468868
39025822,261374245
91979220,982201189
12364466,695688085
18340047,355968975
66032078,420268758
23970235,769548290
17879064,532742607
17008342,987286908
49761921,981755451
27092456,783613792
93167846,928215506
45297668,426332458
41770370,880441097
22952028,581204602
58878809,944958159
87864466,767025513
15312199,828692417
90189204,755295408
95704540,338077936
16203413,362215705
63892434,227465180
11492591,287912467
45339868,825687308
45231823,485130340
88006553,583800642
24603939,983707412
19032811,254943176
28821635,678541098
29984035,781907064
69245382,984871197
15500842,884761627
35701494,888316842
17292797,270494759
49106370,791542137
74657700,862537714
48315543,529295144
65700723,280997236
51015623,244357756
82847315,843213471
21915434,471777993
64333671,287671145
95898710,348712408
35972780,781211298
50409957,857473278
14263187,447949510
43988024,372733672
18160333,412447853
44282531,253447930
28488687,283126404
40195726,228280557
16750570,316297468
20197091,244387283
26637817,914002108
15639544,480745797
40760150,285974390
86893368,656501006
61030290,412092590
49967728,937874652
46057559,663302894
65923915,891875712
53845723,550294921
32920790,488977466
37125483,612956685
37046115,865685450
50803693,691462018
81086940,998993680
16137611,859173934
31930801,386988284
96965477,972268824
77105089,253550900
66074378,896688184
70873716,559652954
52844291,831902311
82989048,543692100
17961664,589197605
66970289,471214188
46499464,719028633
31150591,678629248
10606593,778821689
52239122,389673154
33081362,251077571
34099373,269934601
44454022,540700851
16781958,375348300
30554452,383113192
57043386,565108362
73428938,247195264
33968975,410378031
25651691,564882928
28373128,968225556
24438700,323120464
81439410,597833985
94596320,784994951
23890810,451407305
16789654,699132050
27929364,765803055
12032985,388824988
50270924,845382971
60208740,334228019
95971755,930772170
42730895,866636212
60213577,496564502
59304199,636434357
39361302,884862045
36118725,996100892
67319194,374682304
52158896,636874225
15871171,820240163
41967556,453179853
13725970,225378428
32362070,546229816
72748231,550376450
94928036,963565732
32290798,211712038
96677276,215021220
75206060,623262921
77907315,223109337
58375727,722647911
80223104,442898753
66881893,939698599
91110214,754294585
73490233,643881399
22216331,916691906
76071378,289301094
33925498,816365208
48066526,520072415
