dni,sueldo_hora,cci,numero_celular,horas_semanales_trabajo,esta_activo
75601316,8.2,10986094071814741220,976494804,7,False
23032289,18.5,99547876128773655067,712139672,12,True
74425353,28.0,22509445731436742151,533850229,67,True
83163634,7.6,12206700417612973825,586672445,51,True
27330271,45.9,98062680098552813585,814134018,40,False
40897769,77.1,20156220770180421139,545237401,2,False
58914076,3.3,58831663737792316915,631658222,137,True
32052686,44.5,50593085434126899361,646384389,159,False
48415648,80.0,13106528998112053162,211947987,160,False
73233079,81.7,87912746774867357933,326964291,43,False
60505907,23.2,63797579915431499027,584250056,61,False
18639592,94.8,84721326686430330562,465990821,35,True
91949361,63.6,01224173244648133942,890845705,55,True
69937180,10.9,63045187754896170330,292564790,97,True
19932249,73.0,08041935446866706742,564017974,73,False
36622512,30.3,58009645275274290223,355303495,80,True
94177092,55.1,39671715240585041598,896749506,88,True
44206134,83.0,31794706939732183749,862708074,2,False
70330868,62.4,86652402195646941412,591385443,24,True
72371319,74.2,87671217926451191772,844409287,88,True
24992667,8.1,90013782173581309405,432481678,96,False
68730021,96.4,62973394024583177511,944490452,148,False
21023117,95.8,69707218252857315838,354154608,54,False
91727826,40.6,58649094429945122535,376913225,89,True
36536019,74.6,71421286004373511737,976330392,28,False
95248359,91.6,16058822384336130352,956037363,88,True
94006684,53.2,42834190083949742997,327547570,114,True
73764400,2.2,79700139348529753047,239010462,122,True
19859660,51.1,40686788096557271514,268516609,163,True
74016408,52.2,84559145559283740016,720201776,35,False
18542459,30.4,66049519943477212539,864366536,148,False
31815022,75.8,75622886522065571173,471268210,66,False
86253694,66.6,72660356176090809899,330409385,118,True
10966037,15.6,98400632968013421120,643044778,148,True
86873725,20.4,33942845984017132727,327793413,8,False
19786540,90.5,01845182611430482232,350383152,22,False
38231848,60.2,10228381443709909978,530112393,45,True
34812419,20.2,50052733491760605110,434236729,134,True
13299214,85.3,43653908116216444572,816130549,136,False
18933037,50.5,67936904452898404883,873424760,134,True
54363968,36.9,22386862468407730354,346333019,74,False
30217788,87.3,32215581327245036462,448931750,61,False
88186620,25.6,36937122874165161692,272695731,37,True
42435061,3.8,29157719026662020584,689064232,77,True
51426980,80.0,79447754237801761206,585243722,93,False
24883524,3.8,60306298596694372582,690711542,115,True
44316727,40.7,99224036427006509313,963228032,55,False
50488143,64.2,73651829525104650599,676299438,95,True
50946408,55.3,74385640849581683272,913227898,27,True
57151516,3.2,63461986574772630277,259114374,167,True
23978085,4.5,62702544582355861351,753674635,93,False
51756031,74.8,22709164660200219836,532390443,81,True
45299719,25.5,37280032385117206685,855351366,122,True
69720382,89.1,05114790121816282674,659839158,52,False
12345396,83.0,45315681193704434001,377791599,54,False
15595017,91.1,91671216318217135291,359214576,116,False
59812444,61.1,35316035136441786562,793649001,143,True
13484096,36.7,51055629009143254264,737408598,79,False
90397412,2.2,79044222908070706587,238909703,122,False
55872787,62.6,09953843520553350500,394470595,52,True
11647338,63.9,07354972468617593705,440770549,30,True
20819077,50.0,96763882818929148506,352804368,64,True
23383182,66.5,06828437216154353860,887010013,128,True
10274493,74.6,39045445270203775270,299158063,136,True
95700308,29.7,32389846958063739597,478126589,22,True
64240427,38.1,11069952356748178713,431143662,4,False
10837730,2.9,09286039132717432078,869496368,75,False
49162485,24.6,24486643948289432723,268693513,93,True
44570532,57.6,55890618140017632918,477540324,79,True
12826374,54.9,70426554624624230273,942167451,95,True
67965868,28.8,48453250377790483092,787433725,67,True
53672025,66.9,14345939385378385409,425044633,94,True
48584097,32.3,06695559690335036264,234501549,132,True
89281444,76.5,15367468609133769363,945124810,24,True
21089709,9.3,98246146543757243531,231355999,116,True
89842055,29.0,53960468691044171587,559088675,149,True
36265038,72.5,94077804433268418784,472281244,31,False
77374838,77.1,21070498761052783753,620135979,14,True
52832859,51.4,50350267321225418740,529946233,162,False
41494177,84.2,71584168077660879016,692251414,122,False
21681638,79.9,59588989601191166810,878543900,129,False
94173427,92.1,95855194857143292213,711405259,138,True
61732770,86.4,43582461470533555348,267516996,31,True
49686178,73.1,25319919705654248342,836473934,29,False
56452259,99.0,55515484721277103334,368815874,3,False
74117841,81.8,41152635088603049048,550810759,38,True
24903987,67.8,61531667370800511968,716763365,47,False
38824432,78.7,77865328216011156571,439320190,38,True
83945212,35.9,88399433783716456125,332152044,108,True
38786922,41.7,04440754733087767913,566826645,138,False
43281482,97.8,86865526827660674801,946081952,157,False
39096738,31.7,50900336128094490971,348757574,87,False
77534628,74.6,45664542824931364954,795103516,74,True
95009882,25.7,35876315437721130532,269709109,111,False
48954920,35.9,52472048962217883194,334736414,147,False
77445953,38.9,62436198445284540340,732830600,131,True
77143609,78.1,46849008008836395031,386160652,45,False
61147122,47.6,34206705575046485243,784480559,129,False
49407723,18.5,00886107807759376745,612527493,19,True
97787612,39.9,36819037376181562836,842036145,68,True
48501745,31.6,01771943628640572276,593937718,124,True
92630173,19.4,17883746437914894484,559486416,124,False
58708840,50.6,55042442875125799641,380635668,53,False
25469826,29.5,12325296041377124225,375784970,10,True
52651825,91.3,58371634437358224682,641411196,101,False
60395085,99.3,15190365388146340453,418228159,4,False
27669287,13.7,87176276040927102796,257573241,12,True
49858070,27.4,72768776862886355075,333821111,109,False
81505043,40.1,89897495443570863488,597669540,28,False
90557103,96.2,26462231503690425490,326228827,103,False
26850597,34.7,71892135434962782265,496678359,68,True
24984102,27.1,62092522768124182824,537812907,36,False
85977049,1.8,78839130792063372573,955146465,111,False
43789531,1.9,42960335575923523049,844453055,51,True
16520399,71.9,75448861729074081342,846420353,88,False
82982321,4.5,83638037137910779660,690136228,65,False
37058869,12.5,28879672100695120627,750475264,97,True
53974834,59.1,82969539614783639892,478069032,160,False
32859802,57.0,73144837920701555004,428099015,5,True
78991919,59.5,31390539691541185434,555756588,64,False
