dni,sede_id
12877715,23
36062184,284
78571942,316
85919168,4
90799853,348
87124431,170
42226938,143
68078702,155
87110478,386
33697265,116
30403810,227
33225821,357
83844319,351
89257941,297
34982944,271
57515088,166
89014808,382
48386916,368
39485643,102
25169471,217
94034007,171
88095156,187
69787039,341
69251782,318
67681301,366
66386277,192
20262941,282
77802741,261
59799978,385
74358899,363
44426647,40
88083482,266
91881234,351
98608035,109
32100933,246
94906979,316
48195027,188
41146082,81
40996426,193
12328777,55
99928587,284
25560520,147
62138011,202
51226547,185
59580876,45
87649074,25
97070396,88
40018240,359
46828318,293
31352672,164
32375315,81
78754617,138
73686782,22
20190600,243
52337258,32
73203236,398
52683640,65
88577644,127
20948586,150
88562944,36
54587281,226
43856167,188
24967719,100
52910127,198
48869679,144
20155474,164
98875015,98
68022568,62
19299682,315
95795133,3
54102985,55
59699728,350
19926977,357
46719513,253
90912943,3
27857978,348
14560281,23
78636695,143
88202739,325
96047913,349
63626170,138
11115596,42
21099311,181
57313234,335
21484599,108
37071297,139
23754329,347
53243739,181
23728497,273
51039519,271
33052692,131
67766929,86
69388648,390
12058438,162
25022300,233
22081876,168
38883959,335
28874408,241
31668997,337
63896435,368
18733331,272
65493713,258
96510436,190
90777992,236
58724295,243
49909254,197
32422258,3
96312965,111
93110945,336
50940485,188
13130183,311
51484604,51
80264856,341
46659034,138
92306930,223
81421931,72
53591078,387
84509284,317
46893840,240
69254559,350
62344672,372
32730176,325
11628350,94
99596929,90
99389002,226
62452624,5
69339677,255
90961389,8
55824570,85
53278619,345
29529984,216
73168151,224
80454071,107
10558367,127
42069696,274
49713283,71
94525287,346
34095121,189
49079363,245
63338927,240
14667227,217
73287790,196
41818250,284
50904307,199
30266046,82
70552947,21
31421087,17
98450539,263
94822235,233
80054854,92
10108102,276
50671965,205
89436076,391
83086207,321
18864764,269
32484300,28
82983349,391
80999377,358
53192542,16
40013741,153
75852586,387
41907105,86
90213032,180
84616770,372
83843592,331
43508650,90
96488320,314
45448399,365
54073751,203
59442824,54
60627013,87
99165088,11
72050129,282
84361412,76
70085904,85
60440998,202
12704017,39
21369021,327
21387014,242
81515612,59
31295885,75
64304206,318
27495827,373
50626159,322
74035451,276
23612994,202
40653542,79
85726217,263
93222157,377
31977678,89
88797744,61
78105067,69
30056188,113
25186013,246
15873263,129
23431975,97
64863491,333
96769530,397
44747724,363
45028403,97
91945522,155
43606798,158
70009943,165
62592819,10
22364278,19
25313269,183
78569684,302
61898135,189
67991296,238
66717359,298
83663183,386
68385148,189
40099606,88
62066976,12
49723638,100
39755966,50
73292941,35
33978374,85
13296719,383
14500446,291
34418554,50
13012045,126
40862191,92
92492911,132
52922083,108
86160613,274
83459018,299
67588434,383
20337516,301
68718348,227
44146629,12
37301621,289
79540766,20
81619841,328
15168546,314
88086319,15
17222899,252
64856223,251
52247092,143
90542464,216
56069550,398
31589751,283
19873078,66
50165533,309
47810737,25
67112971,80
45427529,128
19805957,254
15414257,356
55726882,338
59366564,313
69421619,92
47386602,311
59733039,382
95170669,364
26308585,228
48887267,356
52072882,320
91199440,392
88786024,86
79705038,380
28417297,177
51314991,20
87793440,279
56750286,230
85135352,242
12377300,7
29748891,176
44016411,190
48582420,157
85528250,152
12874683,24
92860682,269
60295842,58
89589900,115
21935049,49
90938241,0
18209902,288
81400149,378
31099925,110
80686927,320
64477602,172
20252385,333
57786191,315
83681165,186
57281694,196
50604613,138
84416716,323
38238641,274
42907655,335
88711047,178
61085009,32
40245967,10
80260815,231
65436149,159
71374742,338
58491260,122
11321698,85
18321895,10
77368989,257
79157395,298
84794847,44
61438910,4
98627512,296
67568219,244
62976172,348
87768702,13
11169603,396
75073005,62
22948898,132
88227604,220
14930054,7
17154489,136
11855307,285
20441655,100
79796031,84
44781238,142
11584686,48
25241907,225
22012593,190
83538511,96
16853785,154
63267732,318
60430568,203
20471420,260
24431336,188
18707063,393
71648234,318
98139223,100
30302725,384
14375496,42
70863536,357
81801283,8
43728326,113
16405021,391
50235177,166
58827715,29
51765684,170
24025348,218
57142614,111
56564982,293
26406213,27
29293912,242
70337232,61
44070547,224
63650850,329
53807466,192
76052963,184
32302865,111
24741551,30
69112469,175
22118833,120
78128459,328
81284623,185
31957209,336
60606248,189
62274738,375
88538737,251
51005336,92
47355318,39
68345537,230
74088283,341
16914617,99
51068477,171
30029864,30
61339898,263
29090873,215
73734965,314
69374661,109
88675323,122
21577874,223
59728061,245
87778096,296
90323682,72
97168230,45
80302816,367
99739388,159
62941551,272
56805404,34
51259918,206
84806991,83
44203299,370
61892898,7
70540512,296
40528268,64
70366544,20
94796414,274
34134327,42
39476174,85
95965395,234
10081392,376
10862605,26
72298073,7
82084099,21
74434634,308
92515621,336
99404433,185
18674908,316
66511079,34
93112213,304
92251954,384
60724217,347
18668752,357
35589055,174
86612641,355
46468209,337
54144438,323
62743327,50
71671868,114
93095905,47
64601551,117
85296985,139
98891748,298
86502281,206
18060611,246
17532716,6
58674341,77
58129130,248
26400274,391
73266025,107
36030764,57
97221025,112
97254550,94
65504855,151
33445011,392
43141041,375
12380187,0
24511456,151
28110807,384
90739950,252
57788445,113
27618504,141
59887004,357
60759004,88
47253208,188
11090727,340
66171995,195
24981115,111
21887220,20
98952954,350
34523628,347
73473873,359
22137491,32
21797557,49
61514918,387
84465156,365
36300205,211
30672301,389
89061390,4
58235390,282
41448209,181
63727825,120
26753965,398
97685503,120
35473346,317
45341308,105
64626744,385
22736260,394
99902573,31
88233559,67
73500927,49
64430547,143
53645563,33
67096658,273
33728401,323
32177604,179
64795556,231
30879722,213
15870761,118
31007925,28
66759408,377
35695153,153
94645071,204
79826516,177
10801765,170
81823994,215
14519124,48
98463959,142
80712647,313
51421683,323
43893403,168
32215026,206
96085996,79
13672671,304
99791268,387
27440290,45
46102310,292
87236047,138
77137086,367
45650334,203
10344322,62
62959275,311
84637930,336
15493687,3
13316330,252
44668683,281
13077528,327
80982848,106
85537413,84
63287712,243
49494369,365
89253737,379
46622011,273
72937653,100
69582303,195
53136607,388
32204975,352
20094620,24
21804497,19
91539355,161
96515306,147
14679838,206
69758030,143
13956608,83
81813443,286
51839343,77
51953398,94
37364466,169
88029726,312
65771615,58
97700089,116
88991794,278
94023736,222
32182740,264
96025668,295
24684356,211
29687509,21
14245004,34
55835533,261
67285117,360
39697632,70
83064706,354
75034280,395
32360924,139
46538898,220
60528108,226
73681804,194
56400580,12
78854173,395
87899653,287
37625499,360
35564384,325
98173975,223
34432356,57
29268675,251
66547804,37
54858024,80
59283116,110
18665418,166
54189886,262
96992654,32
72138401,396
95475861,63
49627415,348
50423035,101
78298320,13
87112011,325
78404888,74
26393345,113
76283536,386
48103822,288
97269195,83
82976395,285
13654925,393
48764531,288
34800818,351
15845956,99
19210996,97
54627611,310
48986898,378
42548502,257
34300668,34
43667960,275
23630109,34
47235725,39
56100134,336
57980082,8
89280137,165
30123685,183
68692780,52
94284544,246
76785800,118
42358655,246
68510136,306
24074678,6
77235078,193
74906942,68
89155856,53
52238178,328
53003492,327
39516084,187
93982065,267
93483562,243
83131004,110
11438861,338
67223620,151
32378398,382
63739765,222
85109619,271
25063995,53
71526575,356
80068825,52
53975916,393
26490625,118
57519947,307
93963758,63
92131004,267
99659227,63
77603557,66
94500951,195
72967336,69
23615357,16
40251258,358
41407012,189
11879787,90
18371289,341
24961653,310
45903462,243
40376984,388
56000173,393
12566737,6
90349994,16
83620610,145
24964420,149
32440669,276
83992342,60
21826702,265
50300436,369
39189230,100
90406745,295
38812773,274
28671664,320
74454338,186
41702999,327
25723518,363
64150912,363
16982176,184
59833598,149
69224872,173
73593192,45
62197277,34
49286952,290
71807917,354
54964211,242
69975672,186
14108434,371
32959270,121
27590053,399
96678788,269
78562741,312
89613582,166
57034516,176
48800711,114
69820442,80
43091358,264
34609653,169
94918478,21
81566918,56
81725944,356
83164072,139
84210024,385
44503392,341
71643749,310
75408922,208
41849847,68
38766952,207
59098711,121
56556481,281
80462869,153
22441775,338
63660550,162
65201746,141
88823810,175
80443686,9
89212664,157
61498189,169
67102762,391
72852651,57
59471676,13
88821143,395
99067291,213
82217187,215
20712042,226
47288887,221
73467645,361
96161514,61
41677684,300
41995707,165
28138067,95
51312102,351
98557101,65
37444162,371
31342110,394
85140659,45
61716354,269
47416033,39
12494035,25
33977189,123
54806596,248
52130710,144
51081846,266
37965045,122
56997105,164
70170420,271
23403584,321
69517933,178
95992591,35
52220802,47
20130561,159
84646247,56
45706474,334
36108219,363
27485505,149
26318551,270
87527949,5
72206462,235
64517272,22
34122640,369
18005199,218
18099388,296
46671405,218
69124077,302
57155566,136
79065690,182
68407005,264
85276650,26
87744910,356
81861544,48
68476845,311
62986180,261
64246745,292
14643867,217
80495694,361
31610690,228
40274782,292
21907960,327
40168191,189
22146837,225
80381027,68
69834823,171
89211955,256
92676667,345
47294142,292
82202645,261
67842986,215
23796126,299
55489771,245
88504822,28
82794373,76
36209168,94
94002669,175
65832868,39
20547033,35
13076757,380
31400363,369
86572006,261
82607607,109
37575585,104
42201248,228
79931585,304
82606806,301
59603510,234
10684641,22
47470036,352
58539197,250
29064853,269
43481258,301
83071754,345
46804133,190
20327336,81
97350835,370
50764752,346
68993463,116
70850793,321
62569371,71
41118478,74
96979291,112
82751001,268
78193089,156
46266056,23
81821005,193
93573688,249
47520488,33
92447199,259
74102611,329
64101051,153
12321567,220
46923299,349
33409006,92
81390049,87
24348950,234
12211180,262
52191812,314
73580973,271
58569670,136
24816127,195
21827728,163
29124205,118
45554519,286
89417269,369
90975451,4
75112451,153
91109339,53
83714708,206
28147688,149
78849979,271
70728454,287
41483814,63
37787591,312
55804650,249
85186688,307
63214037,34
48975360,107
27975755,60
46545176,277
67695192,282
65583271,83
97519400,156
47266368,355
71993925,232
60494273,190
94029334,270
26830165,40
78419926,272
49886946,398
16690644,334
31689177,375
28658033,46
56740300,235
34285974,386
55918739,232
98559709,330
87212085,69
93638885,324
82230037,196
72287265,159
55991921,143
16458745,342
14085566,123
99825931,106
33250862,77
99131936,176
68153772,104
51884053,6
31742456,57
41178381,151
55777437,2
83734590,342
84722511,105
95089723,133
72328743,145
15211866,331
68215035,344
12123217,168
32715009,67
67269083,277
56913301,309
92820158,245
28018870,261
24324832,190
98872748,35
70402667,374
56202091,327
72701969,280
60714878,253
16116506,309
92327447,394
48132021,399
86665980,26
63872369,9
69005861,67
50474660,307
67911410,53
19025025,213
11901480,227
15504971,262
20242498,111
51061332,392
17025545,269
77321721,310
74206082,4
80884887,180
71431038,229
57062986,92
21259562,142
72436510,191
61250743,242
16765414,332
87507262,184
56778970,116
59137739,37
20570590,25
57325779,64
71013968,240
21067169,191
61384475,283
79339186,164
13979665,220
29113704,332
32191426,206
79586262,28
24081124,7
31498127,243
18817106,283
49682948,136
10227347,316
88644224,327
47871837,69
70877535,231
48632651,80
20048721,90
15993958,88
95201718,216
40530207,58
75126191,364
73721297,334
81307542,212
46381472,367
72611949,288
88954022,326
76671846,118
90947178,155
87821710,86
27874314,310
83329332,215
28395724,46
12616714,347
28012843,303
27654932,172
42005942,311
99028685,233
61994041,90
38223475,381
84513648,50
28229156,131
86380060,293
83492394,348
39712300,81
24070962,244
12793954,376
44810900,48
49936165,67
37894506,367
63061845,295
45014060,47
36709349,399
22681944,196
86193857,181
88050292,235
88014007,178
98123013,296
40904762,347
86606700,361
29151383,59
87916252,201
83032436,355
16216254,64
83010697,310
95927507,153
98123410,47
77170532,213
90765575,293
77430708,299
66129207,56
51711737,377
73584854,239
49127340,157
86063576,137
15364277,355
63601625,390
10415666,388
60974329,164
40864581,76
19955781,158
39591511,392
53800244,352
69626629,33
32526449,95
66206053,286
70656031,28
14926962,291
50069613,114
17931508,50
47080937,34
27633031,211
31432135,120
48891455,174
78282067,164
79825472,388
57805498,214
51113767,368
79225032,49
77186838,44
13759803,259
42751872,18
87081013,41
84995679,105
32132747,100
59932705,262
55353284,187
23930055,166
20301539,153
26544938,389
36502358,191
65297898,322
81964777,369
88110799,252
15408180,35
93639805,117
90005300,267
68711095,291
32701669,71
92487805,125
60703520,386
94510043,36
54804437,243
59579531,187
40331407,149
10730652,105
50119922,214
20728021,193
65939310,196
13923086,286
74105729,333
36061876,14
68578635,116
81754678,254
48889012,340
37179056,278
81211534,47
88012535,0
56852092,215
66019361,171
10562955,151
71163788,162
72388126,273
48680015,67
91612262,84
28941111,258
55013531,0
20269223,264
45123042,154
70785895,103
23201892,225
51079402,203
83631469,57
32643112,7
41685705,339
31004558,170
26319315,314
84170407,362
40745509,392
82033973,364
98536513,304
58280061,183
89456535,308
14448400,398
33063134,55
23837024,191
12546710,280
54897306,360
30049429,5
29212932,339
92180079,100
48718899,168
47152749,313
21650626,358
49354825,52
75929018,125
46129623,317
11273419,184
91044530,95
80187454,30
43741581,347
32633591,170
89110584,287
14879649,325
20358434,303
40161104,352
28401353,254
95539864,13
31638076,124
76491060,158
15691457,53
85463851,220
34463239,70
42560568,31
63869709,154
82874196,34
46029865,155
38377058,170
76946902,370
86434152,297
48265015,201
51714612,211
62862118,126
51078922,349
13920267,9
90170474,358
26566597,137
98291948,98
50950368,18
44501468,7
20568093,369
70920892,129
25558767,44
31975690,133
81075293,218
58741392,27
13009781,303
25022716,180
59067572,17
18091285,123
82365558,272
45976859,364
42090425,220
88706051,6
46681408,124
74338403,237
36729621,9
38891007,371
35431420,85
79201329,49
82728719,148
62214423,22
76324204,230
90115917,236
56875051,381
27118026,392
66090890,99
81295949,346
29890369,203
68891281,309
30920015,129
63071939,16
33205290,19
76949412,53
33523200,6
31441017,148
58926416,129
15767258,158
77021762,66
66708654,154
54194834,240
69948482,282
93144549,9
23902845,159
61804226,91
56378069,180
42178880,318
60589270,107
53690697,75
29665070,266
19497698,280
88135839,305
63266194,41
94761906,374
41465974,98
97467030,189
79894112,238
85334672,310
98101059,186
77459279,58
72328337,45
46426349,66
12172222,128
88258144,300
12902912,168
69527662,162
92587322,76
59115402,345
45451845,260
90893587,56
31604548,278
48038198,276
22802995,175
56616913,287
49579718,395
83432366,364
71879670,56
68397685,39
50711332,328
50783290,352
31138381,305
49926886,210
84429380,287
41634502,182
18803346,245
42556379,255
87131084,79
63831151,333
14244585,143
92474295,343
65959796,360
90384585,244
86676229,224
64458085,0
82624390,36
15912948,231
58834202,339
