curso_id,grado_id,profesor_dni,periodo_academico
10,7,52946593,2002-06-13
7,9,54688114,2014-03-01
7,10,56120766,2013-07-11
2,1,48583878,1995-07-06
7,7,61300402,2001-06-29
2,8,57234750,2012-07-22
7,0,90917769,1996-07-31
0,1,68162182,2018-11-24
3,8,32126186,1998-05-29
9,3,23706113,2017-09-29
8,9,97030406,2023-04-23
9,0,22631541,2021-12-05
7,1,75691178,2008-12-30
5,0,63018690,2009-10-31
9,3,32995362,2010-09-25
5,5,28210799,2013-09-21
8,10,30981201,2014-11-05
4,7,96419435,2008-11-14
5,3,23418690,2006-01-29
1,2,85217732,2009-10-30
0,3,58579252,2013-08-08
7,3,45822198,2009-06-07
0,10,87104767,2019-01-11
5,8,23484142,2005-10-07
10,5,46089671,2017-11-04
3,10,94970654,1996-01-11
10,0,99733155,2013-09-15
6,3,87970611,2009-10-17
7,6,19973347,2006-01-04
2,10,87056422,2005-08-22
7,4,14809802,1994-10-05
10,2,55088249,2003-01-25
10,1,82075516,2005-06-21
8,9,19116737,2011-10-25
8,9,75691178,2016-08-16
1,9,92895510,2012-06-05
3,6,86931266,1999-03-03
9,0,58737927,2017-01-29
1,0,68274976,1998-12-10
10,3,60862025,2003-04-13
7,9,12604420,1998-07-22
8,1,84128176,2022-06-10
7,3,51414333,2009-07-15
2,5,31139354,2005-03-04
8,2,60526915,1997-08-16
1,9,44104875,2011-05-26
8,0,49710011,2000-12-15
8,10,45624832,1994-12-23
7,3,97131685,2023-10-29
7,5,88683946,2009-06-12
10,10,16517864,1994-10-10
10,5,40179770,2015-03-04
6,10,30593658,1994-09-19
1,0,56896087,2013-08-19
9,7,35790735,2007-04-13
5,10,99829221,2020-09-21
9,10,87439556,2016-11-19
10,7,35285262,2014-02-01
1,8,66074401,1996-07-10
9,8,22400423,2003-01-01
3,7,90276023,2019-08-29
0,10,58431816,2009-06-23
7,10,46259631,2009-01-29
9,10,12276465,2012-02-22
9,5,56177161,2006-03-16
1,7,20963900,2007-08-19
4,6,74389485,1996-10-23
2,0,70048714,1997-11-07
8,5,91641237,2003-03-05
7,9,57730139,2012-04-29
3,1,72947502,2000-11-01
7,2,64023788,2003-01-14
10,6,62048622,2011-03-01
9,1,57043257,2018-03-16
10,4,21394812,1995-06-14
3,8,25167466,2011-07-28
10,0,68761567,1997-10-26
9,0,60091807,2010-04-01
4,1,74805204,2019-09-15
3,4,92895510,2000-06-27
