dni,sede_id
84175321,17
71567046,18
70467839,0
80460594,1
30903956,9
50181090,18
43576406,14
50300266,7
93120973,8
23897976,18
92109614,5
48431358,8
63723307,7
62093547,13
57490343,17
35116117,2
90620509,10
32544267,18
95914360,12
43086842,0
14141066,7
21546916,16
57978856,10
77615895,17
45192301,18
84065326,1
83772726,0
38717078,18
37460711,7
16469400,9
21220643,10
95541655,10
11839541,15
78150502,15
63635195,17
38882043,7
42791240,4
11433412,9
20761150,5
69272203,13
22710362,5
64319530,19
36170069,19
46706772,0
77257073,16
81061735,10
84588243,1
63918442,8
90080123,2
50102807,10
36201211,16
64636580,8
57447283,13
64884528,17
14561697,13
26460618,17
19003715,13
84284834,18
46041781,9
43702709,19
33379456,19
42978476,19
84630356,6
73162963,18
31458754,15
21907808,10
89845053,8
64357240,12
20578278,18
46355755,14
96285651,6
58752944,9
52555496,7
80815046,13
26632976,10
51162185,15
78310349,11
18900235,9
95121059,18
55706970,15
77916151,10
83774465,8
85683622,3
38726533,4
45979790,16
24875024,4
14265812,5
68124756,15
43123434,11
53880888,13
83680332,6
15968194,16
43165392,9
29558820,9
88953878,5
31815155,17
84125240,17
79789984,18
58128734,18
94698419,18
97535169,14
23080770,8
30451519,10
96286728,0
97935480,0
14080813,10
78548630,10
40333704,14
86861214,14
19373250,12
54568875,4
21316535,13
73302006,5
37731882,14
62658017,3
87942869,12
40193383,12
95678928,3
17607423,17
84637592,7
